[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

2025/11/08 13:04:14 stdioProxy initialized: true
2025/11/08 13:04:14 stdioToHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPPlugin initialized: true
[GIN-debug] GET    /health                   --> main.main.func3 (4 handlers)
[GIN-debug] GET    /docs/*any                --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /swagger/doc.json         --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/metrics --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/logs   --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/cache  --> main.main.func6 (4 handlers)
[GIN-debug] POST   /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ScanForMCPServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListScanJobs-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetScanJob-fm (4 handlers)
[GIN-debug] DELETE /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).CancelScanJob-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListDiscoveredServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers/:id --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetDiscoveredServer-fm (4 handlers)
[GIN-debug] POST   /api/v1/discovery/register --> suse-ai-up/internal/handlers.(*RegistrationHandler).RegisterDiscoveredServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters          --> main.main.func7 (4 handlers)
[GIN-debug] POST   /api/v1/adapters          --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name    --> main.main.func9 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name    --> main.main.func10 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name    --> main.main.func11 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/token --> suse-ai-up/internal/handlers.(*TokenHandler).GetAdapterToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/validate --> suse-ai-up/internal/handlers.(*TokenHandler).ValidateToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/refresh --> suse-ai-up/internal/handlers.(*TokenHandler).RefreshToken-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/client-token --> suse-ai-up/internal/handlers.(*MCPAuthHandler).GetClientToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/validate-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).ValidateAuthConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/test-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).TestAuthConnection-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/logs --> main.main.func12 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/status --> main.main.func13 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions --> main.main.func14 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/sessions --> main.main.func15 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions --> main.main.func16 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions/:sessionId --> main.main.func17 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions/:sessionId --> main.main.func18 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PATCH  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] HEAD   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] OPTIONS /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] CONNECT /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] TRACE  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] GET    /api/v1/registry          --> main.main.func20 (4 handlers)
[GIN-debug] GET    /api/v1/registry/public   --> suse-ai-up/internal/handlers.(*RegistryHandler).PublicList-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/sync/official --> suse-ai-up/internal/handlers.(*RegistryHandler).SyncOfficialRegistry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload   --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadRegistryEntry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/bulk --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadBulkRegistryEntries-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/local-mcp --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadLocalMCP-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/browse   --> suse-ai-up/internal/handlers.(*RegistryHandler).BrowseRegistry-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).GetMCPServer-fm (4 handlers)
[GIN-debug] PUT    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).UpdateMCPServer-fm (4 handlers)
[GIN-debug] DELETE /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).DeleteMCPServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/deployment/config/:serverId --> suse-ai-up/internal/handlers.(*DeploymentHandler).GetMCPConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/deployment/deploy --> suse-ai-up/internal/handlers.(*DeploymentHandler).DeployMCP-fm (4 handlers)
2025/11/08 13:04:14 Server starting on port 8911
[GIN] 2025/11/08 - 13:04:14 | 200 |       71.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:14 | 200 |      24.917µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:14 | 200 |      19.417µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:14 | 200 |      28.541µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:18 | 200 |      29.916µs |             ::1 | GET      "/api/v1/adapters/test-no-auth-server"
[GIN] 2025/11/08 - 13:06:19 | 200 |      22.084µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:19 | 200 |      17.417µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:19 | 200 |      16.084µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:19 | 200 |      26.125µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:24 | 200 |       22.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:24 | 200 |      27.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:24 | 200 |       179.5µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:24 | 200 |       10.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:29 | 200 |      20.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:29 | 200 |      21.584µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:29 | 200 |      11.417µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:29 | 200 |      14.833µs |             ::1 | GET      "/api/v1/adapters"
2025/11/08 13:06:33 Creating adapter: test-bearer-auth-server, connectionType: RemoteHttp
2025/11/08 13:06:33 Adapter resource created, storing in adapter store
2025/11/08 13:06:33 Adapter successfully created and stored
2025/11/08 13:06:33 About to send JSON response
2025/11/08 13:06:33 JSON response sent
[GIN] 2025/11/08 - 13:06:33 | 201 |      85.834µs |             ::1 | POST     "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:34 | 200 |      20.542µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:34 | 200 |      29.084µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:34 | 200 |       12.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:34 | 200 |      23.917µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:35 | 200 |      68.417µs |             ::1 | PUT      "/api/v1/adapters/test-bearer-auth-server"
[GIN] 2025/11/08 - 13:06:38 | 401 |    3.480666ms |             ::1 | POST     "/api/v1/adapters/test-bearer-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:39 | 200 |        21.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:39 | 200 |      28.208µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:39 | 200 |      13.667µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:39 | 200 |       15.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:40 | 200 |    6.811042ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
MCP Validation: Unknown method 'notifications/initialized' - allowing but may be unsupported
[GIN] 2025/11/08 - 13:06:40 | 202 |     450.583µs |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:41 | 200 |      83.542µs |             ::1 | PUT      "/api/v1/adapters/test-bearer-auth-server"
[GIN] 2025/11/08 - 13:06:43 | 200 |    2.095541ms |             ::1 | POST     "/api/v1/adapters/test-bearer-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:44 | 200 |        23.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:44 | 200 |      23.708µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:44 | 200 |      14.167µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:44 | 200 |      22.917µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:45 | 200 |       6.707ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:47 | 200 |    1.334917ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:49 | 200 |      21.666µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:49 | 200 |      24.416µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:49 | 200 |       15.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:49 | 200 |      15.167µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:53 | 204 |      24.584µs |             ::1 | OPTIONS  "/.well-known/oauth-protected-resource/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:53 | 404 |       2.334µs |             ::1 | GET      "/.well-known/oauth-protected-resource/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:06:53 | 204 |        4.25µs |             ::1 | OPTIONS  "/.well-known/oauth-protected-resource"
[GIN] 2025/11/08 - 13:06:53 | 404 |       1.875µs |             ::1 | GET      "/.well-known/oauth-protected-resource"
[GIN] 2025/11/08 - 13:06:53 | 204 |       8.334µs |             ::1 | OPTIONS  "/.well-known/oauth-authorization-server"
[GIN] 2025/11/08 - 13:06:53 | 404 |       6.208µs |             ::1 | GET      "/.well-known/oauth-authorization-server"
[GIN] 2025/11/08 - 13:06:53 | 204 |       2.709µs |             ::1 | OPTIONS  "/.well-known/openid-configuration"
[GIN] 2025/11/08 - 13:06:53 | 404 |        3.25µs |             ::1 | GET      "/.well-known/openid-configuration"
[GIN] 2025/11/08 - 13:06:54 | 200 |      35.875µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:54 | 200 |          40µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:54 | 200 |      34.667µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:54 | 200 |      77.625µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:59 | 200 |      62.125µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:59 | 200 |          66µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:06:59 | 200 |      26.417µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:06:59 | 200 |      57.625µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:04 | 200 |      46.125µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:04 | 200 |      61.542µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:04 | 200 |      20.584µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:04 | 200 |      37.209µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:05 | 200 |   11.030792ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:09 | 200 |    2.113208ms |             ::1 | DELETE   "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:09 | 200 | 28.880543959s |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:09 | 200 |       78.25µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:09 | 200 |     131.375µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:09 | 200 |        51.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:09 | 200 |     137.458µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:10 | 200 |    9.872375ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
MCP Validation: Unknown method 'notifications/initialized' - allowing but may be unsupported
[GIN] 2025/11/08 - 13:07:10 | 202 |      2.7135ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:11 | 200 |    1.643958ms |             ::1 | DELETE   "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:11 | 200 |  907.469125ms |             ::1 | GET      "/api/v1/adapters/test-no-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:14 | 200 |      47.709µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:14 | 200 |       56.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:14 | 200 |      21.667µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:14 | 200 |      47.083µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:15 | 200 |      65.583µs |             ::1 | GET      "/api/v1/adapters/test-bearer-auth-server"
[GIN] 2025/11/08 - 13:07:19 | 200 |      50.959µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:19 | 200 |      85.583µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:19 | 200 |      59.875µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:19 | 200 |     143.667µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:24 | 200 |       96.25µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:24 | 200 |      78.916µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:24 | 200 |      32.291µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:24 | 200 |      35.959µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:29 | 200 |   16.614875ms |             ::1 | POST     "/api/v1/adapters/test-bearer-auth-server/mcp"
MCP Validation: Unknown method 'notifications/initialized' - allowing but may be unsupported
[GIN] 2025/11/08 - 13:07:29 | 202 |    1.471709ms |             ::1 | POST     "/api/v1/adapters/test-bearer-auth-server/mcp"
[GIN] 2025/11/08 - 13:07:29 | 200 |      58.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:29 | 200 |      65.167µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:29 | 200 |      42.917µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:29 | 200 |      73.917µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:34 | 200 |      45.042µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:34 | 200 |     139.583µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:34 | 200 |      22.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:34 | 200 |      62.208µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:39 | 200 |      95.625µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:39 | 200 |       56.25µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:39 | 200 |      41.917µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:39 | 200 |       69.25µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:44 | 200 |      44.833µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:44 | 200 |      55.833µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:44 | 200 |      19.167µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:44 | 200 |      38.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:49 | 200 |      64.125µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:49 | 200 |       52.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:49 | 200 |      24.667µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:49 | 200 |      14.208µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:54 | 200 |        22.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:54 | 200 |      26.541µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:07:54 | 200 |      18.416µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:07:54 | 200 |        41.5µs |             ::1 | GET      "/api/v1/adapters"
